"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"485",272080,"Biliran","Philippines","Compound","Eruption Observed","1939 CE","Philippines and SE Asia","Central Philippines",11.523,124.535,1301,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",57.9006996154785,-153.376617431641,138.647857666016,124.535,11.523,TRUE
"486",273010,"Bulusan","Philippines","Stratovolcano(es)","Eruption Observed","2017 CE","Philippines and SE Asia","Luzon",12.769,124.056,1535,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",49.5094184875488,-113.682975769043,141.198028564453,124.056,12.769,TRUE
"487",273020,"Pocdol Mountains","Philippines","Compound","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",13.05,123.958,1102,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",45.1621131896973,-102.097717285156,144.804443359375,123.958,13.05,TRUE
"488",273030,"Mayon","Philippines","Stratovolcano","Eruption Observed","2019 CE","Philippines and SE Asia","Luzon",13.257,123.685,2462,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",49.2816734313965,-115.868576049805,150.607879638672,123.685,13.257,TRUE
"489",273031,"Masaraga","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",13.32,123.6,1328,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",50.2696800231934,-121.033157348633,152.094360351562,123.6,13.32,TRUE
"490",273041,"Iriga","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",13.458,123.451,1138,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",51.4865989685059,-130.734603881836,154.584823608398,123.451,13.458,TRUE
"491",273042,"Isarog","Philippines","Stratovolcano","Eruption Dated","3500 BCE","Philippines and SE Asia","Luzon",13.658,123.38,1966,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",51.0498275756836,-127.408027648926,155.57861328125,123.38,13.658,TRUE
"492",273044,"Malindig","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",13.24,122.018,1157,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,122.018,13.24,TRUE
"493",273050,"Banahaw","Philippines","Complex","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",14.07,121.48,2158,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.48,14.07,TRUE
"494",273060,"San Pablo Volcanic Field","Philippines","Stratovolcano","Eruption Dated","1350 CE","Philippines and SE Asia","Luzon",14.12,121.3,1090,"Trachyandesite / Basaltic Trachyandesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.3,14.12,TRUE
"495",273070,"Taal","Philippines","Caldera","Eruption Observed","1977 CE","Philippines and SE Asia","Luzon",14.002,120.993,311,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.993,14.002,TRUE
"496",273080,"Laguna Caldera","Philippines","Caldera","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",14.42,121.27,743,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.27,14.42,TRUE
"497",273081,"Mariveles","Philippines","Stratovolcano","Eruption Dated","2050 BCE","Philippines and SE Asia","Luzon",14.527,120.482,1388,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.482,14.527,TRUE
"498",273082,"Natib","Philippines","Stratovolcano","Evidence Uncertain","Unknown","Philippines and SE Asia","Luzon",14.72,120.4,1253,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.4,14.72,TRUE
"499",273083,"Pinatubo","Philippines","Stratovolcano","Eruption Observed","1993 CE","Philippines and SE Asia","Luzon",15.13,120.35,1486,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.35,15.13,TRUE
"500",273084,"Arayat","Philippines","Stratovolcano","Evidence Uncertain","Unknown","Philippines and SE Asia","Luzon",15.2,120.742,1026,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.742,15.2,TRUE
"501",273087,"Patoc","Philippines","Stratovolcano","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",17.147,120.98,1865,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.98,17.147,TRUE
"502",273088,"Ambalatungan Group","Philippines","Compound","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",17.32,121.1,2329,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.1,17.32,TRUE
"503",273090,"Cagua","Philippines","Stratovolcano","Eruption Observed","1860 CE","Philippines and SE Asia","Luzon",18.222,122.123,1133,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,122.123,18.222,TRUE
"504",274010,"Camiguin de Babuyanes","Philippines","Stratovolcano","Eruption Observed","1857 CE","Philippines and SE Asia","North of Luzon",18.83,121.86,712,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,121.86,18.83,TRUE
"505",274020,"Didicas","Philippines","Compound","Eruption Observed","1978 CE","Philippines and SE Asia","North of Luzon",19.077,122.202,228,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,122.202,19.077,TRUE
"506",274030,"Babuyan Claro","Philippines","Stratovolcano(es)","Eruption Observed","1924 CE","Philippines and SE Asia","North of Luzon",19.523,121.94,1080,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,121.94,19.523,TRUE
"507",274050,"Unnamed","Philippines","Submarine","Eruption Observed","1854 CE","Philippines and SE Asia","North of Luzon",20.33,121.75,-24,"No Data (checked)","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,121.75,20.33,TRUE
"508",274060,"Iraya","Philippines","Stratovolcano","Eruption Observed","1454 CE","Philippines and SE Asia","North of Luzon",20.469,122.01,1009,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,122.01,20.469,TRUE
"519",281020,"Unnamed","Taiwan","Submarine","Evidence Uncertain","Unknown","Japan, Taiwan, Marianas","Taiwan",21.83,121.18,-115,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.18,21.83,TRUE
"1779",267060,"Lipang","Indonesia","Stratovolcano",NA,NA,"Indonesia","Sangihe Islands",3.911,125.39,126,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,125.39,3.911,TRUE
"1780",267065,"Napo Taroare","Indonesia","Submarine",NA,NA,"Indonesia","Sangihe Islands",4.048,125.345,0,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,125.345,4.048,TRUE
"1781",267070,"Kawalusu","Indonesia","Stratovolcano",NA,NA,"Indonesia","Sangihe Islands",4.232,125.329,239,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,125.329,4.232,TRUE
"1782",267075,"North Kawio","Indonesia","Submarine",NA,NA,"Indonesia","Sangihe Islands",4.684,125.468,109,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,125.468,4.684,TRUE
"1783",267090,"Kawio Barat","Indonesia","Submarine",NA,NA,"Indonesia","Sangihe Islands",4.675,125.088,-1874,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,125.088,4.675,TRUE
"1784",268800,"Hamiding","Indonesia","Unknown",NA,NA,"Indonesia","Halmahera",1.62,127.82,1204,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,127.82,1.62,TRUE
"1785",269010,"Tawau Hills","Malaysia","Pyroclastic cone",NA,NA,"Indonesia","Borneo",4.383,117.95,1077,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,117.95,4.383,TRUE
"1790",269814,"Mostyn","Malaysia","Fissure vent(s) ?",NA,NA,"Indonesia","Borneo",4.6,118.18,0,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,118.18,4.6,TRUE
"1791",270010,"Jolo","Philippines","Pyroclastic cone(s)",NA,NA,"Philippines and SE Asia","Sulu Islands",6,121.125,811,NA,"Subduction zone / Crustal thickness unknown","Pleistocene",NA,NA,NA,121.125,6,TRUE
"1792",271072,"Balatukan","Philippines","Compound",NA,NA,"Philippines and SE Asia","Mindanao",8.77,124.98,2450,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,124.98,8.77,TRUE
"1793",271090,"Paco-Maniayao","Philippines","Stratovolcano",NA,NA,"Philippines and SE Asia","Mindanao",9.593,125.52,664,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",57.9286956787109,-143.919906616211,169.680786132812,125.52,9.593,TRUE
"1794",271800,"Blit","Philippines","Unknown",NA,NA,"Philippines and SE Asia","Mindanao",6.958,124.23,1198,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,124.23,6.958,TRUE
"1795",271801,"Quezon","Philippines","Lava dome(s)",NA,NA,"Philippines and SE Asia","Mindanao",6.58,124.62,652,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,124.62,6.58,TRUE
"1796",271802,"Kitabud","Philippines","Unknown",NA,NA,"Philippines and SE Asia","Mindanao",7.285,124.662,1167,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,124.662,7.285,TRUE
"1797",271803,"Imbing","Philippines","Stratovolcano(es)",NA,NA,"Philippines and SE Asia","Mindanao",7.68,123.23,700,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,123.23,7.68,TRUE
"1798",271804,"Kaladis","Philippines","Stratovolcano",NA,NA,"Philippines and SE Asia","Mindanao",7.58,122.97,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,122.97,7.58,TRUE
"1799",271805,"Ampiro","Philippines","Stratovolcano?",NA,NA,"Philippines and SE Asia","Mindanao",8.388,123.63,1532,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,123.63,8.388,TRUE
"1800",272800,"Nelangaapan","Philippines","Unknown",NA,NA,"Philippines and SE Asia","Central Philippines",9.932,125.27,687,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",68.6136856079102,-188.541854858398,170.0009765625,125.27,9.932,TRUE
"1801",272801,"Ilihan","Philippines","Unknown",NA,NA,"Philippines and SE Asia","Central Philippines",10.483,125.122,903,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",68.5225524902344,-180.759643554688,156.801956176758,125.122,10.483,TRUE
"1802",272802,"Alto","Philippines","Compound",NA,NA,"Philippines and SE Asia","Central Philippines",11.108,124.75,1350,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",67.0579071044922,-181.124740600586,140.617553710938,124.75,11.108,TRUE
"1803",272803,"Cancajanag","Philippines","Lava dome(s)",NA,NA,"Philippines and SE Asia","Central Philippines",11.07,124.78,900,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",66.9949264526367,-179.955535888672,142.060546875,124.78,11.07,TRUE
"1804",272804,"Maripipi","Philippines","Unknown",NA,NA,"Philippines and SE Asia","Central Philippines",11.8,124.33,924,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",53.2879219055176,-149.546829223633,150.87841796875,124.33,11.8,TRUE
"1805",272805,"Hingatungan","Philippines","Stratovolcano",NA,NA,"Philippines and SE Asia","Central Philippines",10.594,125.101,796,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",67.2408065795898,-171.834228515625,155.387191772461,125.101,10.594,TRUE
"1806",272806,"Lobi","Philippines","Stratovolcano",NA,NA,"Philippines and SE Asia","Central Philippines",11.013,124.812,1302,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",67.2189559936523,-181.021484375,143.842208862305,124.812,11.013,TRUE
"1807",272807,"Pacdahauan","Philippines","Unknown",NA,NA,"Philippines and SE Asia","Central Philippines",11.404,124.509,628,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",62.5024604797363,-171.294281005859,134.371353149414,124.509,11.404,TRUE
"1808",273085,"Amorong Group","Philippines","Lava dome(s)",NA,NA,"Philippines and SE Asia","Luzon",15.825,120.742,369,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,120.742,15.825,TRUE
