"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1903",283828,"Yuga-mine","Japan","Lava dome",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.802,137.284,1067,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",38.4479103088379,-75.8566360473633,270.431274414062,137.284,35.802,TRUE
"1904",283829,"Eboshi-Washigatake","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.937,136.974,1672,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",40.2142105102539,-90.6514892578125,252.117492675781,136.974,35.937,TRUE
"1905",283830,"Bishamon-dake","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.936,136.795,1386,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",42.0284690856934,-96.1669769287109,237.995468139648,136.795,35.936,TRUE
"1906",283831,"Dainichiga-take","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.998,136.841,1709,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",42.4480361938477,-100.692993164062,242.813079833984,136.841,35.998,TRUE
"1907",283832,"Ryohaku Maru-yama","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.046,136.8,1786,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",43.4267387390137,-106.543930053711,241.488021850586,136.8,36.046,TRUE
"1908",283833,"Gankyoji","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.054,136.743,1691,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",44.2166900634766,-108.722610473633,237.995162963867,136.743,36.054,TRUE
"1909",283834,"Kyoga-take","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.043,136.625,1671,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",46.3611793518066,-115.847557067871,231.120681762695,136.625,36.043,TRUE
"1910",283835,"Dainichi-yama","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.15,136.5,1369,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",48.9593086242676,-132.636123657227,229.241668701172,136.5,36.15,TRUE
"1911",283836,"Tomuro","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.528,136.75,548,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",43.8703002929688,-153.690582275391,230.896865844727,136.75,36.528,TRUE
"1912",283837,"Kamitakara","Japan","Unknown",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.2,137.502,1831,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",38.4532012939453,-114.111503601074,266.759307861328,137.502,36.2,TRUE
"1913",283838,"Hodakadake","Japan","Caldera",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.286,137.651,3190,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",36.4375457763672,-119.617324829102,256.213409423828,137.651,36.286,TRUE
"1914",283839,"Momisawa-dake","Japan","Unknown",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.364,137.611,2755,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",34.4187622070312,-126.511070251465,256.450805664062,137.611,36.364,TRUE
"1915",283840,"Kaminoroka","Japan","Unknown",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.471,137.599,2465,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",31.7836112976074,-133.801406860352,255.371994018555,137.599,36.471,TRUE
"1916",283841,"Shirouma-Oike","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.786,137.802,2469,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",27.0512733459473,-148.425262451172,244.12712097168,137.802,36.786,TRUE
"1917",283842,"Madarao","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.834,138.278,1382,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",31.6893215179443,-138.181793212891,235.937911987305,138.278,36.834,TRUE
"1918",283843,"Kurohime","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.81,138.13,2053,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",30.9890270233154,-141.775543212891,236.758682250977,138.13,36.81,TRUE
"1919",283844,"Iizuna","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.736,138.137,1917,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",32.1788749694824,-137.003997802734,237.237899780273,138.137,36.736,TRUE
"1920",283845,"Motodori","Japan","Lava dome",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.717,138.247,745,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",33.0645065307617,-132.381988525391,237.032043457031,138.247,36.717,TRUE
"1921",283846,"Minakami","Japan","Lava dome",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.551,138.226,659,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",35.7803993225098,-122.181564331055,239.128112792969,138.226,36.551,TRUE
"1922",283847,"Eboshi","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.43,138.39,2227,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",37.9685821533203,-108.719596862793,242.513717651367,138.39,36.43,TRUE
